AYUSH_Code,AYUSH_Term,Target_System,WHO_Code_Candidate,WHO_Term_Candidate,Similarity_Score,Suggested_Relationship
AYURVEDA-AAA-2.2,prANavAtakopaH,TM2,SP99,Pruritus disorder (TM2),0.6255,narrower-than
AYURVEDA-AAA-2.2,prANavAtakopaH,TM2,SK97,Nasal obstruction disorder (TM2),0.614,narrower-than
AYURVEDA-AAA-2.2,prANavAtakopaH,TM2,SP61,Emaciation disorder (TM2),0.591,related-to
AYURVEDA-AAA-2.2,prANavAtakopaH,Biomedicine,MB27.23,- - - - Hypnagogic hallucinations,0.5043,related-to
AYURVEDA-AAA-2.3,udAnavAtakopaH,TM2,SM3H,Nausea disorder (TM2),0.5872,related-to
AYURVEDA-AAA-2.3,udAnavAtakopaH,TM2,SN41,Discoloration of body disorder (TM2),0.5837,related-to
AYURVEDA-AAA-2.3,udAnavAtakopaH,TM2,SK87,Otalgia disorder (TM2),0.5792,related-to
AYURVEDA-AAA-2.3,udAnavAtakopaH,Biomedicine,DA01.10,- - - - Oral aphthae or aphtha-like ulceration,0.5233,related-to
AYURVEDA-AAA-2.4,vyAnavAtakopaH,TM2,SP61,Emaciation disorder (TM2),0.5711,related-to
AYURVEDA-AAA-2.4,vyAnavAtakopaH,TM2,SP54,Fever with body pain disorder (TM2),0.568,related-to
AYURVEDA-AAA-2.4,vyAnavAtakopaH,TM2,SM8B,Urinary incontinence disorder (TM2),0.5654,related-to
AYURVEDA-AAA-2.4,vyAnavAtakopaH,Biomedicine,RA00.0,- - - Vaping related disorder,0.5657,related-to
AYURVEDA-AAA-2.4,vyAnavAtakopaH,Biomedicine,GA42,- - - Sensory disturbance of the vulva,0.5042,related-to
AYURVEDA-AAA-2.5,samAnavAtakopaH,TM2,SM36,Malabsorption disorder (TM2),0.6018,narrower-than
AYURVEDA-AAA-2.5,samAnavAtakopaH,TM2,SM3E,Gastric ulcer disorder (TM2),0.5638,related-to
AYURVEDA-AAA-2.5,samAnavAtakopaH,TM2,SK91,Anosmia disorder (TM2),0.5618,related-to
AYURVEDA-AAA-2.5,samAnavAtakopaH,Biomedicine,DA04,- - Diseases of salivary glands,0.5274,related-to
AYURVEDA-AAA-2.5,samAnavAtakopaH,Biomedicine,JB46.6,- - - Galactorrhoea,0.5175,related-to
AYURVEDA-AAA-2.5,samAnavAtakopaH,Biomedicine,ED91,- - - - Disorders of the sebaceous gland,0.5029,related-to
AYURVEDA-AAA-2.6,apAnavAtakopaH,TM2,SM8D,Polyuria disorder (TM2),0.6317,narrower-than
AYURVEDA-AAA-2.6,apAnavAtakopaH,TM2,SP99,Pruritus disorder (TM2),0.615,narrower-than
AYURVEDA-AAA-2.6,apAnavAtakopaH,TM2,SM99,Uterine polyps disorder (TM2),0.6102,narrower-than
AYURVEDA-SR13(AAA-3),vAtaprasaraNam,TM2,SR12,Aggravation of vata pattern (TM2),0.5976,related-to
AYURVEDA-SR13(AAA-3),vAtaprasaraNam,TM2,SR13,Spreading of vata pattern (TM2),0.5541,related-to
AYURVEDA-SR13(AAA-3),vAtaprasaraNam,TM2,SR11,Accumulation of Vata pattern (TM2),0.5488,related-to
AYURVEDA-SR13(AAA-3),vAtaprasaraNam,Biomedicine,SR12,- - - - Aggravation of vata pattern (TM2),0.5835,related-to
AYURVEDA-SR13(AAA-3),vAtaprasaraNam,Biomedicine,XM3835,- - - - - - Vorapaxar,0.5611,related-to
AYURVEDA-SR13(AAA-3),vAtaprasaraNam,Biomedicine,NB93.02,- - - - Crushing injury of vulva,0.5517,related-to
AYURVEDA-SR14 (AAA-4),vAtakShayaH,TM2,SR1J,Decrease of Vaḷi (Vaḷi humour) pattern (TM2),0.52,related-to
AYURVEDA-SR14 (AAA-4),vAtakShayaH,TM2,SS26,Suppression of sleep pattern (TM2),0.5082,related-to
AYURVEDA-SR14 (AAA-4),vAtakShayaH,TM2,SR4K,Diminution of menstrual flow pattern (TM2),0.504,related-to
AYURVEDA-AAB,nAnAtmajavAtavikAraH,Biomedicine,XA32Q9,- - - - - - - Ala nasi,0.5438,related-to
AYURVEDA-AAB,nAnAtmajavAtavikAraH,Biomedicine,XM6602,- - - - - - Vernakalant,0.5262,related-to
AYURVEDA-AAB,nAnAtmajavAtavikAraH,Biomedicine,XH8CU4,- - - - Neuronevus,0.5207,related-to
AYURVEDA-SQ00 (AAB-1),atipralApaH (kEvalavAta),TM2,SQ05,"Lack of concentration, confusion disorder (TM2)",0.5616,related-to
AYURVEDA-SQ05(AAB-2),anavasthitacittatvam (kEvalavAta),TM2,SQ05,"Lack of concentration, confusion disorder (TM2)",0.6719,narrower-than
AYURVEDA-SQ05(AAB-2),anavasthitacittatvam (kEvalavAta),TM2,SP61,Emaciation disorder (TM2),0.5025,related-to
AYURVEDA-AAB-3 (SP9Y),a~ggamardaH (kEvalavAta),Biomedicine,XM1J98,- - - - - Karaya (gum),0.5609,related-to
AYURVEDA-AAB-3 (SP9Y),a~ggamardaH (kEvalavAta),Biomedicine,XM48K1,- - - - - Guaimesal,0.5593,related-to
AYURVEDA-AAB-3 (SP9Y),a~ggamardaH (kEvalavAta),Biomedicine,XM5JS1,- - - - - - Ganirelix,0.5405,related-to
AYURVEDA-AAB-4 (SP9Y),a~ggaSuShkatA (kEvalavAta),Biomedicine,XM1J98,- - - - - Karaya (gum),0.5965,related-to
AYURVEDA-AAB-4 (SP9Y),a~ggaSuShkatA (kEvalavAta),Biomedicine,XM48K1,- - - - - Guaimesal,0.5319,related-to
AYURVEDA-AAB-4 (SP9Y),a~ggaSuShkatA (kEvalavAta),Biomedicine,XM8GY5,- - - - - Guaiphenesin,0.5278,related-to
AYURVEDA-SP21 (AAB-5),a~ggaviBraMSaH (kEvalavAta),TM2,SN41,Discoloration of body disorder (TM2),0.5508,related-to
AYURVEDA-SP21 (AAB-5),a~ggaviBraMSaH (kEvalavAta),TM2,SK91,Anosmia disorder (TM2),0.5276,related-to
AYURVEDA-SP21 (AAB-5),a~ggaviBraMSaH (kEvalavAta),TM2,SK87,Otalgia disorder (TM2),0.5115,related-to
AYURVEDA-SM1P (AAB-7),arasaj~jatA (kEvalavAta),TM2,SM3C,Food stasis indigestion disorder (TM2),0.522,related-to
AYURVEDA-SM1P (AAB-7),arasaj~jatA (kEvalavAta),TM2,SS22,Suppression of hunger and thirst together pattern (TM2),0.5093,related-to
AYURVEDA-SM1P (AAB-7),arasaj~jatA (kEvalavAta),Biomedicine,XM1J98,- - - - - Karaya (gum),0.5407,related-to
AYURVEDA-AAB-8,aSabdaSravaNam (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.5327,related-to
AYURVEDA-AAB-10,akShiBedaH (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.5864,related-to
AYURVEDA-AAB-10,akShiBedaH (kEvalavAta),Biomedicine,XM6FF0,- - - - - - - - KOSTAIVE,0.5134,related-to
AYURVEDA-AAB-11,akShivyudAsaH (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.5206,related-to
AYURVEDA-AAB-11,akShivyudAsaH (kEvalavAta),Biomedicine,XM1J98,- - - - - Karaya (gum),0.5039,related-to
AYURVEDA-AAB-12,akShiSUlaH (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.5929,related-to
AYURVEDA-AAB-12,akShiSUlaH (kEvalavAta),Biomedicine,XM6FF0,- - - - - - - - KOSTAIVE,0.5452,related-to
AYURVEDA-AAB-13,ATopaH (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.5377,related-to
AYURVEDA-AAB-13,ATopaH (kEvalavAta),Biomedicine,XH9XR8,- - - - Keratoacanthoma,0.5327,related-to
AYURVEDA-AAB-13,ATopaH (kEvalavAta),Biomedicine,2C31.1,- - - - - Keratoacanthoma,0.5245,related-to
AYURVEDA-AAB-14,AkShepakaH (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.5626,related-to
AYURVEDA-AAB-14,AkShepakaH (kEvalavAta),Biomedicine,XM6FF0,- - - - - - - - KOSTAIVE,0.5474,related-to
AYURVEDA-SK84 (AAB-15),uccaiHSrutiH (kEvalavAta),TM2,SK83,Pruritus of ear disorder (TM2),0.5492,related-to
AYURVEDA-SK84 (AAB-15),uccaiHSrutiH (kEvalavAta),TM2,SL02,Hoarseness of voice disorder (TM2),0.5421,related-to
AYURVEDA-SK84 (AAB-15),uccaiHSrutiH (kEvalavAta),TM2,SK88,Otitis disorder (TM2),0.5336,related-to
AYURVEDA-AAB-16,udarAveShTaH (kEvalavAta),Biomedicine,XA5007,- - - - - - - Ulna,0.5553,related-to
AYURVEDA-AAB-16,udarAveShTaH (kEvalavAta),Biomedicine,XA2993,- - - - - - - Uvula,0.5033,related-to
AYURVEDA-AAB-19,UrusAdaH (kEvalavAta),Biomedicine,XA5007,- - - - - - - Ulna,0.553,related-to
AYURVEDA-AAB-19,UrusAdaH (kEvalavAta),Biomedicine,XA2993,- - - - - - - Uvula,0.5407,related-to
AYURVEDA-AAB-19,UrusAdaH (kEvalavAta),Biomedicine,XM84R4,- - - - Urtica plant,0.5024,related-to
AYURVEDA-AAB-20,ekA~ggarogaH (kEvalavAta),Biomedicine,XM48K1,- - - - - Guaimesal,0.5388,related-to
AYURVEDA-AAB-20,ekA~ggarogaH (kEvalavAta),Biomedicine,XM8GY5,- - - - - Guaiphenesin,0.5252,related-to
AYURVEDA-AAB-20,ekA~ggarogaH (kEvalavAta),Biomedicine,XM1D48,- - - - - Ephedra,0.5162,related-to
AYURVEDA-AAB-21,oShThaBedaH (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.5567,related-to
AYURVEDA-AAB-21,oShThaBedaH (kEvalavAta),Biomedicine,XM6FF0,- - - - - - - - KOSTAIVE,0.5217,related-to
AYURVEDA-SL02 (AAB-22),kaNThodhvaMsaH (kEvalavAta),TM2,SL02,Hoarseness of voice disorder (TM2),0.6603,narrower-than
AYURVEDA-SL02 (AAB-22),kaNThodhvaMsaH (kEvalavAta),TM2,SL03,Indistinct- abnormal voice disorder (TM2),0.5444,related-to
AYURVEDA-SL02 (AAB-22),kaNThodhvaMsaH (kEvalavAta),TM2,SK88,Otitis disorder (TM2),0.5181,related-to
AYURVEDA-SL02 (AAB-22),kaNThodhvaMsaH (kEvalavAta),Biomedicine,MA82,- - - Voice disturbances,0.5395,related-to
AYURVEDA-SL02 (AAB-22),kaNThodhvaMsaH (kEvalavAta),Biomedicine,RA00.0,- - - Vaping related disorder,0.5001,related-to
AYURVEDA-AAB-23,karNaSUlaH (kEvalavAta),TM2,SR1D,Spreading of kapha pattern (TM2),0.5214,related-to
AYURVEDA-AAB-23,karNaSUlaH (kEvalavAta),TM2,SS52,Kapha constitution pattern (TM2),0.5104,related-to
AYURVEDA-AAB-23,karNaSUlaH (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.626,narrower-than
AYURVEDA-AAB-23,karNaSUlaH (kEvalavAta),Biomedicine,XM1J98,- - - - - Karaya (gum),0.5674,related-to
AYURVEDA-AAB-23,karNaSUlaH (kEvalavAta),Biomedicine,XM6FF0,- - - - - - - - KOSTAIVE,0.5277,related-to
AYURVEDA-AAB-24,kampaH/vepathuH (kEvalavAta),TM2,SS55,Kapha-Vata constitution pattern (TM2),0.519,related-to
AYURVEDA-AAB-24,kampaH/vepathuH (kEvalavAta),TM2,SL02,Hoarseness of voice disorder (TM2),0.5091,related-to
AYURVEDA-AAB-24,kampaH/vepathuH (kEvalavAta),TM2,SS52,Kapha constitution pattern (TM2),0.5082,related-to
AYURVEDA-AAB-24,kampaH/vepathuH (kEvalavAta),Biomedicine,XM6602,- - - - - - Vernakalant,0.5878,related-to
AYURVEDA-AAB-24,kampaH/vepathuH (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.5564,related-to
AYURVEDA-AAB-24,kampaH/vepathuH (kEvalavAta),Biomedicine,XM1J98,- - - - - Karaya (gum),0.5245,related-to
AYURVEDA-AAB-25 (SM1Y),kaShAyAsyatA (kEvalavAta),TM2,SS52,Kapha constitution pattern (TM2),0.5192,related-to
AYURVEDA-AAB-25 (SM1Y),kaShAyAsyatA (kEvalavAta),TM2,SR1A,Vitiation of kapha pattern (TM2),0.5115,related-to
AYURVEDA-AAB-25 (SM1Y),kaShAyAsyatA (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.5508,related-to
AYURVEDA-AAB-25 (SM1Y),kaShAyAsyatA (kEvalavAta),Biomedicine,XM7CN8,- - - - - Kaolin,0.5192,related-to
AYURVEDA-AAB-25 (SM1Y),kaShAyAsyatA (kEvalavAta),Biomedicine,XM1J98,- - - - - Karaya (gum),0.519,related-to
AYURVEDA-SP97 (AAB-26),klamaH (kEvalavAta),Biomedicine,NF07.2,- - - Exhaustion due to exposure,0.5084,related-to
AYURVEDA-SN41 (AAB-27),kArShNyam (kEvalavAta),TM2,SN41,Discoloration of body disorder (TM2),0.5534,related-to
AYURVEDA-SN41 (AAB-27),kArShNyam (kEvalavAta),TM2,SP61,Emaciation disorder (TM2),0.5019,related-to
AYURVEDA-SN41 (AAB-27),kArShNyam (kEvalavAta),Biomedicine,GA41.0,- - - - Vulval aphthosis,0.5556,related-to
AYURVEDA-SN41 (AAB-27),kArShNyam (kEvalavAta),Biomedicine,9A60.5,- - - - Vernal keratoconjunctivitis,0.5183,related-to
AYURVEDA-AAB-28,kubjatvam (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.6252,narrower-than
AYURVEDA-AAB-28,kubjatvam (kEvalavAta),Biomedicine,XM6FF0,- - - - - - - - KOSTAIVE,0.5752,related-to
AYURVEDA-AAB-28,kubjatvam (kEvalavAta),Biomedicine,XM4H89,- - - - - - - Kelevan,0.5604,related-to
AYURVEDA-SP61 (AAB-29),kArSyam (kEvalavAta),TM2,SP61,Emaciation disorder (TM2),0.6027,narrower-than
AYURVEDA-SP61 (AAB-29),kArSyam (kEvalavAta),TM2,SN41,Discoloration of body disorder (TM2),0.5298,related-to
AYURVEDA-SN4C (AAB-30),keSaBUmisPuTanam (kEvalavAta),TM2,SN4C,Scaling of scalp and forehead skin disorder (TM2),0.5744,related-to
AYURVEDA-SN4C (AAB-30),keSaBUmisPuTanam (kEvalavAta),Biomedicine,SN4C,- - - - - Scaling of scalp and forehead skin disorder (TM2),0.5101,related-to
AYURVEDA-SN4C (AAB-30),keSaBUmisPuTanam (kEvalavAta),Biomedicine,1F28.0,- - - Dermatophytosis of scalp,0.506,related-to
AYURVEDA-SN4C (AAB-30),keSaBUmisPuTanam (kEvalavAta),Biomedicine,XA5BY6,- - - - - - Vertex of scalp,0.5017,related-to
AYURVEDA-AAB-31,kha~jjaH/kha~jjatvam (kEvalavAta),Biomedicine,XM6XG3,- - - - - - Jalap,0.535,related-to
AYURVEDA-AAB-31,kha~jjaH/kha~jjatvam (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.5247,related-to
AYURVEDA-AAB-32,garBanASaH (kEvalavAta),Biomedicine,XM1J98,- - - - - Karaya (gum),0.5622,related-to
AYURVEDA-AAB-32,garBanASaH (kEvalavAta),Biomedicine,XM6AL6,- - - - - - Pegaspargase,0.5206,related-to
AYURVEDA-AAB-32,garBanASaH (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.5135,related-to
AYURVEDA-SP45 (AAB-33),grIvAstamBaH (kEvalavAta),TM2,SK51,Cervicobrachial pain disorder (TM2),0.5359,related-to
AYURVEDA-AAB-34,gudaBraMSaH (kEvalavAta),Biomedicine,XM1J98,- - - - - Karaya (gum),0.548,related-to
AYURVEDA-AAB-34,gudaBraMSaH (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.5355,related-to
AYURVEDA-AAB-34,gudaBraMSaH (kEvalavAta),Biomedicine,XM2L20,- - - - - - Guselkumab,0.5053,related-to
AYURVEDA-SM50 (AAB-35),gudArtiH (kEvalavAta),TM2,SM56,Anal abscess disorder (TM2),0.5276,related-to
AYURVEDA-SM50 (AAB-35),gudArtiH (kEvalavAta),Biomedicine,DD92.1,- - - Functional anorectal pain,0.6239,narrower-than
AYURVEDA-SM50 (AAB-35),gudArtiH (kEvalavAta),Biomedicine,GA34.00,- - - - Vulval pain,0.6136,narrower-than
AYURVEDA-SM50 (AAB-35),gudArtiH (kEvalavAta),Biomedicine,GA34.0,"- - - Pain related to vulva, vagina or pelvic floor",0.5964,related-to
AYURVEDA-AAB-36 (SP1Y),gulPa-grahaH (kEvalavAta),Biomedicine,XM1J98,- - - - - Karaya (gum),0.5767,related-to
AYURVEDA-AAB-36 (SP1Y),gulPa-grahaH (kEvalavAta),Biomedicine,XM0HB8,- - - - - Gefarnate,0.543,related-to
AYURVEDA-AAB-36 (SP1Y),gulPa-grahaH (kEvalavAta),Biomedicine,XM48K1,- - - - - Guaimesal,0.5426,related-to
AYURVEDA-AAB-37,gRudhrasI (kEvalavAta),TM2,SM72,Bowel inflammation disorder (TM2),0.5608,related-to
AYURVEDA-AAB-37,gRudhrasI (kEvalavAta),TM2,SP41,Sciatica disorder (TM2),0.5487,related-to
AYURVEDA-AAB-37,gRudhrasI (kEvalavAta),TM2,SM3E,Gastric ulcer disorder (TM2),0.5356,related-to
AYURVEDA-AAB-37,gRudhrasI (kEvalavAta),Biomedicine,8C60,- - - Myasthenia gravis,0.5244,related-to
AYURVEDA-SK91 (AAB-38),ghrANanASaH/nAsAhuNDanam (kEvalavAta),TM2,SK97,Nasal obstruction disorder (TM2),0.5387,related-to
AYURVEDA-SK91 (AAB-38),ghrANanASaH/nAsAhuNDanam (kEvalavAta),TM2,SN41,Discoloration of body disorder (TM2),0.5087,related-to
AYURVEDA-SK91 (AAB-38),ghrANanASaH/nAsAhuNDanam (kEvalavAta),TM2,SK91,Anosmia disorder (TM2),0.5009,related-to
AYURVEDA-AAB-39(SP1Y),jAnuBedaH (kEvalavAta),Biomedicine,XM7ED8,- - - - Jatropha plant,0.5658,related-to
AYURVEDA-AAB-39(SP1Y),jAnuBedaH (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.531,related-to
AYURVEDA-AAB-39(SP1Y),jAnuBedaH (kEvalavAta),Biomedicine,XM6XG3,- - - - - - Jalap,0.5258,related-to
AYURVEDA-AAB-40 (SP1Y),jAnuviSleShaH (kEvalavAta),Biomedicine,XM7ED8,- - - - Jatropha plant,0.5171,related-to
AYURVEDA-AAB-40 (SP1Y),jAnuviSleShaH (kEvalavAta),Biomedicine,XM6XG3,- - - - - - Jalap,0.5134,related-to
AYURVEDA-AAB-40 (SP1Y),jAnuviSleShaH (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.5104,related-to
AYURVEDA-SP95 (AAB-41),jRumBA (kEvalavAta),TM2,SP95,Excessive yawning disorder (TM2),0.7181,narrower-than
AYURVEDA-SP95 (AAB-41),jRumBA (kEvalavAta),Biomedicine,MD11.D,- - - - Yawning,0.6051,narrower-than
AYURVEDA-SP95 (AAB-41),jRumBA (kEvalavAta),Biomedicine,SP95,- - - - Excessive yawning disorder (TM2),0.5782,related-to
AYURVEDA-AAB-42(SP98),tamaH (kEvalavAta),Biomedicine,XM3PR6,- - - - - Tavaborole,0.5593,related-to
AYURVEDA-AAB-42(SP98),tamaH (kEvalavAta),Biomedicine,XM0T42,- - - - - - - Tasosartan,0.5427,related-to
AYURVEDA-AAB-42(SP98),tamaH (kEvalavAta),Biomedicine,XM1PQ5,- - - - - Tragacanth,0.5405,related-to
AYURVEDA-AAB-43,timiraH (kEvalavAta),Biomedicine,XM9VG8,- - - - Tirilazad,0.6103,narrower-than
AYURVEDA-AAB-43,timiraH (kEvalavAta),Biomedicine,XM1PQ5,- - - - - Tragacanth,0.5793,related-to
AYURVEDA-AAB-43,timiraH (kEvalavAta),Biomedicine,XM7KD1,- - - - - Thiram medicinal,0.5498,related-to
AYURVEDA-AAB-44 (SN9Y),tvakSUnyatA (kEvalavAta),Biomedicine,XM1PQ5,- - - - - Tragacanth,0.5376,related-to
AYURVEDA-AAB-45 (SP9Y),todaH (kEvalavAta),Biomedicine,XM23C3,- - - - - Tolnaftate,0.5219,related-to
AYURVEDA-AAB-46(SK30),daNDakaH (kEvalavAta),Biomedicine,XM9511,- - - - - - Daraprim,0.6017,narrower-than
AYURVEDA-AAB-46(SK30),daNDakaH (kEvalavAta),Biomedicine,XM3YJ4,- - - - - Darvon,0.5915,related-to
AYURVEDA-AAB-46(SK30),daNDakaH (kEvalavAta),Biomedicine,XM3KU8,- - - - - - Dalapon,0.5914,related-to
AYURVEDA-AAB-47,dantaBedaH (kEvalavAta),Biomedicine,XM9511,- - - - - - Daraprim,0.5808,related-to
AYURVEDA-AAB-47,dantaBedaH (kEvalavAta),Biomedicine,XM3KU8,- - - - - - Dalapon,0.5359,related-to
AYURVEDA-AAB-47,dantaBedaH (kEvalavAta),Biomedicine,XM86Q2,- - - - - - - Dantron,0.5301,related-to
AYURVEDA-AAB-48 (SM1Y),dantaSaithilyam (kEvalavAta),Biomedicine,XM9511,- - - - - - Daraprim,0.5256,related-to
AYURVEDA-AAB-48 (SM1Y),dantaSaithilyam (kEvalavAta),Biomedicine,XM3KU8,- - - - - - Dalapon,0.5213,related-to
AYURVEDA-AAB-48 (SM1Y),dantaSaithilyam (kEvalavAta),Biomedicine,XM0LG0,- - - - - Darvadstrocel,0.5036,related-to
AYURVEDA-SN60(AAB-49),nakhaBedaH (kEvalavAta),TM2,SN6Y,Other specified nail disorders (TM2),0.5864,related-to
AYURVEDA-SN60(AAB-49),nakhaBedaH (kEvalavAta),TM2,SN60,Brittle nails disorder (TM2),0.5753,related-to
AYURVEDA-SN60(AAB-49),nakhaBedaH (kEvalavAta),TM2,SN41,Discoloration of body disorder (TM2),0.5459,related-to
AYURVEDA-SN60(AAB-49),nakhaBedaH (kEvalavAta),Biomedicine,EC22.0,- - - Inherited deformities of nails,0.5763,related-to
AYURVEDA-SN60(AAB-49),nakhaBedaH (kEvalavAta),Biomedicine,EE10.4,- - - - - Nail atrophy,0.5425,related-to
AYURVEDA-SN60(AAB-49),nakhaBedaH (kEvalavAta),Biomedicine,EH73,- - Drug-induced nail abnormalities,0.5322,related-to
AYURVEDA-AAB-50(SN7Y),hrasvakeSaH (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.5393,related-to
AYURVEDA-AAB-50(SN7Y),hrasvakeSaH (kEvalavAta),Biomedicine,XN119,- - - - Hortaea,0.5199,related-to
AYURVEDA-AAB-51,nirAmavAtaH,Biomedicine,XM5BH2,- - - - - Nilstat topical,0.5194,related-to
AYURVEDA-AAB-51,nirAmavAtaH,Biomedicine,XN931,- - - - - - Nipah virus,0.5031,related-to
AYURVEDA-AAB-52,pakShAghAtaH/pakShavadhaH (kEvalavAta),TM2,SK6Q,Ptilosis disorder (TM2),0.516,related-to
AYURVEDA-AAB-52,pakShAghAtaH/pakShavadhaH (kEvalavAta),Biomedicine,XM6AL6,- - - - - - Pegaspargase,0.5304,related-to
AYURVEDA-AAB-52,pakShAghAtaH/pakShavadhaH (kEvalavAta),Biomedicine,XM0238,- - - - - Khat,0.523,related-to
AYURVEDA-AAB-52,pakShAghAtaH/pakShavadhaH (kEvalavAta),Biomedicine,XM8F43,- - - - - Pegvaliase,0.5113,related-to
AYURVEDA-AAB-53(SK21),pA~ggulyam (kEvalavAta),Biomedicine,XM6AL6,- - - - - - Pegaspargase,0.5805,related-to
