AYUSH_Code,AYUSH_Term,Target_System,WHO_Code_Candidate,WHO_Term_Candidate,Similarity_Score,Suggested_Relationship
AYURVEDA-AAB-4 (SP9Y),a~ggaSuShkatA (kEvalavAta),Biomedicine,XA80J3,- - - - - - - - - - Globus pallidus,0.5102,related-to
AYURVEDA-AAB-4 (SP9Y),a~ggaSuShkatA (kEvalavAta),Biomedicine,XM3CK7,- - - - Podostroma cornu-damae mushroom,0.5083,related-to
AYURVEDA-SP21 (AAB-5),a~ggaviBraMSaH (kEvalavAta),Biomedicine,XM40T8,- - - - - - Glutaral nonmedicinal,0.5089,related-to
AYURVEDA-AAB-6,arditaH (kEvalavAta),Biomedicine,XM8HM5,- - - - - - Ethinamate,0.568,related-to
AYURVEDA-AAB-6,arditaH (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5524,related-to
AYURVEDA-AAB-6,arditaH (kEvalavAta),Biomedicine,XM8BL3,- - - - - Ipecacuanha,0.5489,related-to
AYURVEDA-SM1P (AAB-7),arasaj~jatA (kEvalavAta),Biomedicine,MB41,- - - Disturbances of smell or taste,0.5068,related-to
AYURVEDA-AAB-8,aSabdaSravaNam (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5713,related-to
AYURVEDA-AAB-8,aSabdaSravaNam (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5508,related-to
AYURVEDA-AAB-8,aSabdaSravaNam (kEvalavAta),Biomedicine,XN4RM,- - - - - Basidiobolus ranarum,0.5256,related-to
AYURVEDA-AAB-9,asvapnaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5152,related-to
AYURVEDA-AAB-10,akShiBedaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5929,related-to
AYURVEDA-AAB-10,akShiBedaH (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5468,related-to
AYURVEDA-AAB-10,akShiBedaH (kEvalavAta),Biomedicine,XM67R0,- - - - - - Canakinumab,0.5159,related-to
AYURVEDA-AAB-11,akShivyudAsaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.626,related-to
AYURVEDA-AAB-11,akShivyudAsaH (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5818,related-to
AYURVEDA-AAB-11,akShivyudAsaH (kEvalavAta),Biomedicine,XM8H63,- - - - - - Naphthoquine,0.564,related-to
AYURVEDA-AAB-12,akShiSUlaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5958,related-to
AYURVEDA-AAB-12,akShiSUlaH (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5562,related-to
AYURVEDA-AAB-12,akShiSUlaH (kEvalavAta),Biomedicine,XM67R0,- - - - - - Canakinumab,0.5557,related-to
AYURVEDA-AAB-13,ATopaH (kEvalavAta),Biomedicine,XM2D08,- - - - - Atophan,0.6025,related-to
AYURVEDA-AAB-13,ATopaH (kEvalavAta),Biomedicine,EA80,- - - Atopic eczema,0.5625,related-to
AYURVEDA-AAB-13,ATopaH (kEvalavAta),Biomedicine,EC91.1,- - - - Atopic prurigo,0.5597,related-to
AYURVEDA-AAB-14,AkShepakaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5899,related-to
AYURVEDA-AAB-14,AkShepakaH (kEvalavAta),Biomedicine,XM4H89,- - - - - - - Kelevan,0.5526,related-to
AYURVEDA-AAB-14,AkShepakaH (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5456,related-to
AYURVEDA-SK84 (AAB-15),uccaiHSrutiH (kEvalavAta),Biomedicine,XA44P4,- - - - - - Auditory vestibule,0.5107,related-to
AYURVEDA-AAB-16,udarAveShTaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.6112,related-to
AYURVEDA-AAB-16,udarAveShTaH (kEvalavAta),Biomedicine,XN4RM,- - - - - Basidiobolus ranarum,0.5491,related-to
AYURVEDA-AAB-16,udarAveShTaH (kEvalavAta),Biomedicine,XM8H63,- - - - - - Naphthoquine,0.5425,related-to
AYURVEDA-AAB-17,udAvartaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.6222,related-to
AYURVEDA-AAB-17,udAvartaH (kEvalavAta),Biomedicine,XM7SM7,- - - - - - Pravastatin,0.5414,related-to
AYURVEDA-AAB-17,udAvartaH (kEvalavAta),Biomedicine,XN4RM,- - - - - Basidiobolus ranarum,0.5274,related-to
AYURVEDA-AAB-18,UrustamBaH/ADhyavAtaH (kEvalavAta),Biomedicine,XM9KU3,- - - - - - - Uramustine,0.5723,related-to
AYURVEDA-AAB-18,UrustamBaH/ADhyavAtaH (kEvalavAta),Biomedicine,XM4L44,- - - - - - Sulfathiourea,0.5257,related-to
AYURVEDA-AAB-18,UrustamBaH/ADhyavAtaH (kEvalavAta),Biomedicine,XN4RM,- - - - - Basidiobolus ranarum,0.5101,related-to
AYURVEDA-AAB-19,UrusAdaH (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5471,related-to
AYURVEDA-AAB-19,UrusAdaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5469,related-to
AYURVEDA-AAB-19,UrusAdaH (kEvalavAta),Biomedicine,XA1NC2,- - - - - - Urachus,0.5465,related-to
AYURVEDA-AAB-20,ekA~ggarogaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5313,related-to
AYURVEDA-AAB-20,ekA~ggarogaH (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5239,related-to
AYURVEDA-AAB-20,ekA~ggarogaH (kEvalavAta),Biomedicine,XM4H89,- - - - - - - Kelevan,0.5224,related-to
AYURVEDA-AAB-21,oShThaBedaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.6467,related-to
AYURVEDA-AAB-21,oShThaBedaH (kEvalavAta),Biomedicine,XM8H63,- - - - - - Naphthoquine,0.5977,related-to
AYURVEDA-AAB-21,oShThaBedaH (kEvalavAta),Biomedicine,XM4L44,- - - - - - Sulfathiourea,0.5621,related-to
AYURVEDA-SL02 (AAB-22),kaNThodhvaMsaH (kEvalavAta),TM2,SL02,Hoarseness of voice disorder (TM2),0.5498,equivalent
AYURVEDA-AAB-23,karNaSUlaH (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5597,related-to
AYURVEDA-AAB-23,karNaSUlaH (kEvalavAta),Biomedicine,XM4H89,- - - - - - - Kelevan,0.5497,related-to
AYURVEDA-AAB-23,karNaSUlaH (kEvalavAta),Biomedicine,XN620,- - - - - Klebsiella,0.5397,related-to
AYURVEDA-AAB-24,kampaH/vepathuH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5489,related-to
AYURVEDA-AAB-24,kampaH/vepathuH (kEvalavAta),Biomedicine,XM3E25,- - - - - - Rupatadine,0.5014,related-to
AYURVEDA-AAB-25 (SM1Y),kaShAyAsyatA (kEvalavAta),Biomedicine,XN0ZW,- - - - - - - Burkholderia anthina,0.5385,related-to
AYURVEDA-AAB-25 (SM1Y),kaShAyAsyatA (kEvalavAta),Biomedicine,XM1J98,- - - - - Karaya (gum),0.5291,related-to
AYURVEDA-AAB-25 (SM1Y),kaShAyAsyatA (kEvalavAta),Biomedicine,XM4L44,- - - - - - Sulfathiourea,0.5168,related-to
AYURVEDA-SP97 (AAB-26),klamaH (kEvalavAta),TM2,SP97,Severe fatigue disorder (TM2),0.531,equivalent
AYURVEDA-SP97 (AAB-26),klamaH (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5388,related-to
AYURVEDA-SN41 (AAB-27),kArShNyam (kEvalavAta),Biomedicine,XM6T99,- - - - - White lotion (keratolytic),0.514,related-to
AYURVEDA-SN41 (AAB-27),kArShNyam (kEvalavAta),Biomedicine,XH8MN8,- - - - PUVA keratosis,0.5022,related-to
AYURVEDA-AAB-28,kubjatvam (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5566,related-to
AYURVEDA-AAB-28,kubjatvam (kEvalavAta),Biomedicine,XM4H41,- - - - - - Kebuzone,0.5266,related-to
AYURVEDA-AAB-28,kubjatvam (kEvalavAta),Biomedicine,XM4H89,- - - - - - - Kelevan,0.5203,related-to
AYURVEDA-SN4C (AAB-30),keSaBUmisPuTanam (kEvalavAta),TM2,SN4C,Scaling of scalp and forehead skin disorder (TM2),0.6939,equivalent
AYURVEDA-SN4C (AAB-30),keSaBUmisPuTanam (kEvalavAta),Biomedicine,SN4C,- - - - - Scaling of scalp and forehead skin disorder (TM2),0.5959,related-to
AYURVEDA-SN4C (AAB-30),keSaBUmisPuTanam (kEvalavAta),Biomedicine,ME60.3,- - - - Keratosis of skin of uncertain or unspecified nature,0.5625,related-to
AYURVEDA-SN4C (AAB-30),keSaBUmisPuTanam (kEvalavAta),Biomedicine,EG30.Z,"- - - - Skin disorders localised to the scalp, unspecified",0.5623,related-to
AYURVEDA-AAB-32,garBanASaH (kEvalavAta),Biomedicine,XM5KP4,- - - - - - - Guanfacine,0.5491,related-to
AYURVEDA-AAB-32,garBanASaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5431,related-to
AYURVEDA-AAB-32,garBanASaH (kEvalavAta),Biomedicine,XM8BL3,- - - - - Ipecacuanha,0.5227,related-to
AYURVEDA-SP45 (AAB-33),grIvAstamBaH (kEvalavAta),Biomedicine,XA1HH2,- - - - - - Gracilis muscle,0.5549,related-to
AYURVEDA-SP45 (AAB-33),grIvAstamBaH (kEvalavAta),Biomedicine,ME84.Z,"- - - - Spinal pain, unspecified",0.5252,related-to
AYURVEDA-SP45 (AAB-33),grIvAstamBaH (kEvalavAta),Biomedicine,XA12U3,- - - - - - Gracilis tendon,0.5161,related-to
AYURVEDA-AAB-34,gudaBraMSaH (kEvalavAta),Biomedicine,XM5KP4,- - - - - - - Guanfacine,0.5851,related-to
AYURVEDA-AAB-34,gudaBraMSaH (kEvalavAta),Biomedicine,XM23A5,- - - - - - Guanatol,0.5716,related-to
AYURVEDA-AAB-34,gudaBraMSaH (kEvalavAta),Biomedicine,XM8983,- - - - - Guaiacolsulfonate,0.5674,related-to
AYURVEDA-SM50 (AAB-35),gudArtiH (kEvalavAta),Biomedicine,XM1DD2,- - - - - Guacetisal,0.5533,related-to
AYURVEDA-SM50 (AAB-35),gudArtiH (kEvalavAta),Biomedicine,XM48K1,- - - - - Guaimesal,0.5439,related-to
AYURVEDA-SM50 (AAB-35),gudArtiH (kEvalavAta),Biomedicine,XM5ET8,- - - - - Guanacline,0.521,related-to
AYURVEDA-AAB-36 (SP1Y),gulPa-grahaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5295,related-to
AYURVEDA-AAB-36 (SP1Y),gulPa-grahaH (kEvalavAta),Biomedicine,XM7NV2,- - - - - Guanabenz,0.5131,related-to
AYURVEDA-AAB-36 (SP1Y),gulPa-grahaH (kEvalavAta),Biomedicine,XM23A5,- - - - - - Guanatol,0.5083,related-to
AYURVEDA-AAB-37,gRudhrasI (kEvalavAta),TM2,SP20,"Muscle pain, twisting disorder (TM2)",0.5783,equivalent
AYURVEDA-AAB-37,gRudhrasI (kEvalavAta),TM2,SP46,Log thigh disorder (TM2),0.5467,equivalent
AYURVEDA-AAB-37,gRudhrasI (kEvalavAta),TM2,SM70,Flank pain disorder (TM2),0.512,equivalent
AYURVEDA-AAB-37,gRudhrasI (kEvalavAta),Biomedicine,XA1HH2,- - - - - - Gracilis muscle,0.5104,related-to
AYURVEDA-AAB-37,gRudhrasI (kEvalavAta),Biomedicine,8E43.Z,"- - - Pain disorders, unspecified",0.5038,related-to
AYURVEDA-AAB-37,gRudhrasI (kEvalavAta),Biomedicine,SK55,- - - - Weakness of thighs due to vata disorder (TM2),0.5021,related-to
AYURVEDA-SK91 (AAB-38),ghrANanASaH/nAsAhuNDanam (kEvalavAta),TM2,SK97,Nasal obstruction disorder (TM2),0.5135,equivalent
AYURVEDA-SK91 (AAB-38),ghrANanASaH/nAsAhuNDanam (kEvalavAta),Biomedicine,XA8817,- - - - - - Nasal turbinate,0.519,related-to
AYURVEDA-SK91 (AAB-38),ghrANanASaH/nAsAhuNDanam (kEvalavAta),Biomedicine,XM18N0,- - - - - Glutaraldehyde medicinal,0.5099,related-to
AYURVEDA-SK91 (AAB-38),ghrANanASaH/nAsAhuNDanam (kEvalavAta),Biomedicine,MB41.Z,"- - - - Disturbances of smell or taste, unspecified",0.5083,related-to
AYURVEDA-AAB-39(SP1Y),jAnuBedaH (kEvalavAta),Biomedicine,ME24.A4,- - - - - Melaena,0.5871,related-to
AYURVEDA-AAB-39(SP1Y),jAnuBedaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5791,related-to
AYURVEDA-AAB-39(SP1Y),jAnuBedaH (kEvalavAta),Biomedicine,XM1D58,- - - - - - Melagatran,0.5575,related-to
AYURVEDA-AAB-40 (SP1Y),jAnuviSleShaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.618,related-to
AYURVEDA-AAB-40 (SP1Y),jAnuviSleShaH (kEvalavAta),Biomedicine,XM8H63,- - - - - - Naphthoquine,0.5335,related-to
AYURVEDA-AAB-40 (SP1Y),jAnuviSleShaH (kEvalavAta),Biomedicine,XN4RM,- - - - - Basidiobolus ranarum,0.5314,related-to
AYURVEDA-SP95 (AAB-41),jRumBA (kEvalavAta),TM2,SP95,Excessive yawning disorder (TM2),0.6189,equivalent
AYURVEDA-SP95 (AAB-41),jRumBA (kEvalavAta),TM2,SS21,Suppression of yawning pattern (TM2),0.5665,equivalent
AYURVEDA-SP95 (AAB-41),jRumBA (kEvalavAta),Biomedicine,SP95,- - - - Excessive yawning disorder (TM2),0.5565,related-to
AYURVEDA-AAB-42(SP98),tamaH (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5129,related-to
AYURVEDA-AAB-42(SP98),tamaH (kEvalavAta),Biomedicine,XM1D58,- - - - - - Melagatran,0.5059,related-to
AYURVEDA-AAB-43,timiraH (kEvalavAta),Biomedicine,XM1KQ9,- - - - - - - Timolol,0.5951,related-to
AYURVEDA-AAB-43,timiraH (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.557,related-to
AYURVEDA-AAB-43,timiraH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5343,related-to
AYURVEDA-AAB-44 (SN9Y),tvakSUnyatA (kEvalavAta),Biomedicine,XN0ZW,- - - - - - - Burkholderia anthina,0.5525,related-to
AYURVEDA-AAB-44 (SN9Y),tvakSUnyatA (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5472,related-to
AYURVEDA-AAB-44 (SN9Y),tvakSUnyatA (kEvalavAta),Biomedicine,XM17Z4,- - - - - Levomilnacipran,0.5468,related-to
AYURVEDA-AAB-45 (SP9Y),todaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5316,related-to
AYURVEDA-AAB-45 (SP9Y),todaH (kEvalavAta),Biomedicine,XM5T36,- - - - - Todralazine,0.5065,related-to
AYURVEDA-AAB-46(SK30),daNDakaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5631,related-to
AYURVEDA-AAB-46(SK30),daNDakaH (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5334,related-to
AYURVEDA-AAB-46(SK30),daNDakaH (kEvalavAta),Biomedicine,XM8H63,- - - - - - Naphthoquine,0.5317,related-to
AYURVEDA-AAB-47,dantaBedaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5837,related-to
AYURVEDA-AAB-47,dantaBedaH (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5368,related-to
AYURVEDA-AAB-47,dantaBedaH (kEvalavAta),Biomedicine,XM8HM5,- - - - - - Ethinamate,0.5114,related-to
AYURVEDA-AAB-48 (SM1Y),dantaSaithilyam (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5841,related-to
AYURVEDA-AAB-48 (SM1Y),dantaSaithilyam (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5733,related-to
AYURVEDA-AAB-48 (SM1Y),dantaSaithilyam (kEvalavAta),Biomedicine,XM8HM5,- - - - - - Ethinamate,0.5616,related-to
AYURVEDA-SN60(AAB-49),nakhaBedaH (kEvalavAta),TM2,SN60,Brittle nails disorder (TM2),0.5682,equivalent
AYURVEDA-AAB-50(SN7Y),hrasvakeSaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5485,related-to
AYURVEDA-AAB-50(SN7Y),hrasvakeSaH (kEvalavAta),Biomedicine,XM4L44,- - - - - - Sulfathiourea,0.5302,related-to
AYURVEDA-AAB-50(SN7Y),hrasvakeSaH (kEvalavAta),Biomedicine,XM8BL3,- - - - - Ipecacuanha,0.5071,related-to
AYURVEDA-AAB-51,nirAmavAtaH,Biomedicine,XM6M26,- - - - - - Nivolumab,0.6202,related-to
AYURVEDA-AAB-51,nirAmavAtaH,Biomedicine,XM1DL2,- - - - - - Niraparib,0.618,related-to
AYURVEDA-AAB-51,nirAmavAtaH,Biomedicine,XM8TH1,- - - - - - Nimetazepam,0.5734,related-to
AYURVEDA-AAB-52,pakShAghAtaH/pakShavadhaH (kEvalavAta),Biomedicine,XM8337,- - - - - Canthaxanthin,0.5378,related-to
AYURVEDA-AAB-52,pakShAghAtaH/pakShavadhaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5316,related-to
AYURVEDA-AAB-52,pakShAghAtaH/pakShavadhaH (kEvalavAta),Biomedicine,XM4H89,- - - - - - - Kelevan,0.5261,related-to
AYURVEDA-AAB-53(SK21),pA~ggulyam (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5262,related-to
AYURVEDA-AAB-53(SK21),pA~ggulyam (kEvalavAta),Biomedicine,XM3K54,- - - - Cochineal extract,0.5211,related-to
AYURVEDA-AAB-53(SK21),pA~ggulyam (kEvalavAta),Biomedicine,XM8597,- - - - - - Gliquidone,0.52,related-to
AYURVEDA-AAB-54(SK5Y),pAdaBraMSaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.6564,related-to
AYURVEDA-AAB-54(SK5Y),pAdaBraMSaH (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5893,related-to
AYURVEDA-AAB-54(SK5Y),pAdaBraMSaH (kEvalavAta),Biomedicine,XM8M52,- - - - - - Ketorolac,0.5759,related-to
AYURVEDA-AAB-55(SP4Y),pAdaSUlaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.6586,related-to
AYURVEDA-AAB-55(SP4Y),pAdaSUlaH (kEvalavAta),Biomedicine,XM3CK7,- - - - Podostroma cornu-damae mushroom,0.5897,related-to
AYURVEDA-AAB-55(SP4Y),pAdaSUlaH (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5824,related-to
AYURVEDA-AAB-56(SP45),pAdasuptatA (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5917,related-to
AYURVEDA-AAB-56(SP45),pAdasuptatA (kEvalavAta),Biomedicine,XM5WE7,- - - - - - Ketazolam,0.5738,related-to
AYURVEDA-AAB-56(SP45),pAdasuptatA (kEvalavAta),Biomedicine,XN76V,- - - - - - Treponema carateum,0.5685,related-to
AYURVEDA-SN4R(AAB-57),pAruShyam (kEvalavAta),TM2,SN4R,Roughness of skin disorder (TM2),0.5837,equivalent
